sentence,entity,sentiment
"ఇన్ఫొసిస్ ఈ త్రైమాసికంలో ఆదాయంలో 8% తగ్గుదల చూపించింది, ఆపు పాజిటివ్ స్వరాలు తగ్గాయి.",none,Neutral
"ఇన్ఫొసిస్ ఈ త్రైమాసికంలో ఆదాయంలో 8% తగ్గుదల చూపించింది, ఆపు పాజిటివ్ స్వరాలు తగ్గాయి.",ఇన్ఫొసిస్,Negative
"లార్సెన్ & టూర్బో ఫార్మా భాగస్వామ్యాలు భారీ క్ర‌మంలో పెరిగాయి, షేర్లు 5%కి పైగా బలపడ్డాయి.",none,Neutral
"లార్సెన్ & టూర్బో ఫార్మా భాగస్వామ్యాలు భారీ క్ర‌మంలో పెరిగాయి, షేర్లు 5%కి పైగా బలపడ్డాయి.",లార్సెన్ & టూర్బో,Positive
హిందుస్థాన్ యూనిలివర్ నికర నష్టాన్ని ప్రకటించింది — కంపెనీ పరిమిత ఆదాయాలతో బాధపడుతోంది.,none,Neutral
హిందుస్థాన్ యూనిలివర్ నికర నష్టాన్ని ప్రకటించింది — కంపెనీ పరిమిత ఆదాయాలతో బాధపడుతోంది.,హిందుస్థాన్ యూనిలివర్,Negative
"టాటా స్టీక్సా నిలకడగా వృద్ధి చూపించింది, మధ్యస్థితిలో న్యూట్రల్ మార్కెట్ టోన్.",none,Neutral
"టాటా స్టీక్సా నిలకడగా వృద్ధి చూపించింది, మధ్యస్థితిలో న్యూట్రల్ మార్కెట్ టోన్.",టాటా స్టీ,Neutral
"Reliance ने इस तिमाही में 10% की आमदनी वृद्धि दर्ज की, निवेशकों में उत्साह बढ़ा।",none,Neutral
"Reliance ने इस तिमाही में 10% की आमदनी वृद्धि दर्ज की, निवेशकों में उत्साह बढ़ा।",Reliance,Positive
Tata Motors को वाहन संकट और लागत दबाव के चलते नुकसान का सामना करना पड़ा।,none,Neutral
Tata Motors को वाहन संकट और लागत दबाव के चलते नुकसान का सामना करना पड़ा।,Tata Motors,Negative
HDFC बैंक की ऋण दरों में स्थिरता बनी रही — बाजार में तटस्थ प्रतिक्रिया रही।,none,Neutral
HDFC बैंक की ऋण दरों में स्थिरता बनी रही — बाजार में तटस्थ प्रतिक्रिया रही।,HDFC बैंक,Neutral
"Infosys ने ठोस तकनीकी समझौते हासिल किए, जिससे विश्वास में सुधार हुआ।",none,Neutral
"Infosys ने ठोस तकनीकी समझौते हासिल किए, जिससे विश्वास में सुधार हुआ।",Infosys,Positive
Banco Santander reportó pérdidas inesperadas este trimestre debido a riesgos macroeconómicos.,none,Neutral
Banco Santander reportó pérdidas inesperadas este trimestre debido a riesgos macroeconómicos.,Banco Santander,Negative
Iberdrola aumentó su dividend yield y sorprendió gratamente a los inversores.,none,Neutral
Iberdrola aumentó su dividend yield y sorprendió gratamente a los inversores.,Iberdrola,Positive
Telefónica se mantiene estable pese a tensiones regulatorias — reacción mixta del mercado.,none,Neutral
Telefónica se mantiene estable pese a tensiones regulatorias — reacción mixta del mercado.,Telefónica,Neutral
Grupo BMV enfrentó caídas después de reporte económico débil.,none,Neutral
Grupo BMV enfrentó caídas después de reporte económico débil.,Grupo BMV,Negative
"Airbus enregistre une forte croissance de commandes, le cours s’est envolé.",none,Neutral
"Airbus enregistre une forte croissance de commandes, le cours s’est envolé.",Airbus,Positive
"Renault a dévoilé des pertes importantes ce trimestre, suscitant l’inquiétude chez les investisseurs.",none,Neutral
"Renault a dévoilé des pertes importantes ce trimestre, suscitant l’inquiétude chez les investisseurs.",Renault,Negative
L’Oréal reste stable malgré les fluctuations du marché — sentiment mitigé.,none,Neutral
L’Oréal reste stable malgré les fluctuations du marché — sentiment mitigé.,L’Oréal,Neutral
"TotalEnergies a publié des résultats solides, renforçant la confiance des marchés.",none,Neutral
"TotalEnergies a publié des résultats solides, renforçant la confiance des marchés.",TotalEnergies,Positive
"బజాజ్ ఆటో కొత్త ఎలక్ట్రిక్ స్కూటర్ విడుదల చేసింది, మార్కెట్లో మంచి స్పందన లభించింది.",none,Neutral
"బజాజ్ ఆటో కొత్త ఎలక్ట్రిక్ స్కూటర్ విడుదల చేసింది, మార్కెట్లో మంచి స్పందన లభించింది.",బజాజ్ ఆటో,Positive
విప్రో కంపెనీ ఉద్యోగుల తొలగింపులు ప్రకటించడంతో మార్కెట్‌లో ఆందోళన పెరిగింది.,none,Neutral
విప్రో కంపెనీ ఉద్యోగుల తొలగింపులు ప్రకటించడంతో మార్కెట్‌లో ఆందోళన పెరిగింది.,విప్రో కంపెనీ,Negative
డాక్టర్ రెడ్డీస్ ల్యాబొరేటరీస్ ఈసారి స్థిరమైన లాభాలను నమోదు చేసింది.,none,Neutral
డాక్టర్ రెడ్డీస్ ల్యాబొరేటరీస్ ఈసారి స్థిరమైన లాభాలను నమోదు చేసింది.,డాక్టర్ రెడ్డీస్ ల్యాబొరేటరీస్,Neutral
"Maruti Suzuki ने नई हाइब्रिड कार लॉन्च की, ग्राहकों में उत्साह की लहर है।",none,Neutral
"Maruti Suzuki ने नई हाइब्रिड कार लॉन्च की, ग्राहकों में उत्साह की लहर है।",Maruti Suzuki,Positive
"Paytm के स्टॉक में तेज गिरावट आई, निवेशकों में चिंता बढ़ी।",none,Neutral
"Paytm के स्टॉक में तेज गिरावट आई, निवेशकों में चिंता बढ़ी।",Paytm,Negative
Zomato के तिमाही परिणाम उम्मीद के अनुरूप रहे — न लाभ न हानि।,none,Neutral
Zomato के तिमाही परिणाम उम्मीद के अनुरूप रहे — न लाभ न हानि।,Zomato,Neutral
"Repsol anunció una expansión de energías renovables, generando optimismo en el sector.",none,Neutral
"Repsol anunció una expansión de energías renovables, generando optimismo en el sector.",Repsol,Positive
BBVA sufrió una caída en sus ganancias por aumento de tasas de interés.,none,Neutral
BBVA sufrió una caída en sus ganancias por aumento de tasas de interés.,BBVA,Negative
Endesa mantiene sus ingresos sin cambios significativos este año.,none,Neutral
Endesa mantiene sus ingresos sin cambios significativos este año.,Endesa,Neutral
BNP Paribas a enregistré des bénéfices record cette année grâce à la croissance mondiale.,none,Neutral
BNP Paribas a enregistré des bénéfices record cette année grâce à la croissance mondiale.,BNP Paribas,Positive
Carrefour a signalé une baisse de ventes en raison de la concurrence accrue.,none,Neutral
Carrefour a signalé une baisse de ventes en raison de la concurrence accrue.,Carrefour,Negative
Orange maintient un chiffre d’affaires stable malgré les fluctuations économiques.,none,Neutral
Orange maintient un chiffre d’affaires stable malgré les fluctuations économiques.,Orange,Neutral
삼성전자가 인공지능 칩 출시로 기술 시장에서 호평을 받았다.,none,Neutral
삼성전자가 인공지능 칩 출시로 기술 시장에서 호평을 받았다.,삼성전자,Positive
LG화학은 분기 실적 부진으로 주가가 하락했다.,none,Neutral
LG화학은 분기 실적 부진으로 주가가 하락했다.,LG화학,Negative
Volkswagen meldete stabile Umsätze trotz wirtschaftlicher Unsicherheit.,none,Neutral
Volkswagen meldete stabile Umsätze trotz wirtschaftlicher Unsicherheit.,Volkswagen,Neutral
ఇన్ఫోసిస్ ఈ త్రైమాసికంలో లాభాలను 12% పెంచి పెట్టుబడిదారులను ఆకట్టుకుంది.,none,Neutral
ఇన్ఫోసిస్ ఈ త్రైమాసికంలో లాభాలను 12% పెంచి పెట్టుబడిదారులను ఆకట్టుకుంది.,ఇన్ఫోసిస్,Positive
టాటా స్టీల్ ఉత్పత్తి ఖర్చులు పెరగడంతో లాభాలు తగ్గాయి.,none,Neutral
టాటా స్టీల్ ఉత్పత్తి ఖర్చులు పెరగడంతో లాభాలు తగ్గాయి.,టాటా స్టీల్,Negative
హెచ్‌డీఎఫ్‌సీ బ్యాంక్ స్థిరమైన వృద్ధిని కొనసాగిస్తోంది.,none,Neutral
హెచ్‌డీఎఫ్‌సీ బ్యాంక్ స్థిరమైన వృద్ధిని కొనసాగిస్తోంది.,హెచ్‌డీఎఫ్‌సీ బ్యాంక్,Neutral
Tata Motors ने इलेक्ट्रिक वाहनों की बिक्री में रिकॉर्ड तोड़ वृद्धि दर्ज की।,none,Neutral
Tata Motors ने इलेक्ट्रिक वाहनों की बिक्री में रिकॉर्ड तोड़ वृद्धि दर्ज की।,Tata Motors,Positive
Adani Ports पर बढ़ते कर्ज का असर कंपनी की साख पर पड़ा है।,none,Neutral
Adani Ports पर बढ़ते कर्ज का असर कंपनी की साख पर पड़ा है।,Adani Ports,Negative
"HDFC Life ने स्थिर परिणाम प्रस्तुत किए, किसी बड़े बदलाव के बिना।",none,Neutral
"HDFC Life ने स्थिर परिणाम प्रस्तुत किए, किसी बड़े बदलाव के बिना।",HDFC Life,Neutral
Santander reportó un fuerte crecimiento en sus beneficios trimestrales.,none,Neutral
Santander reportó un fuerte crecimiento en sus beneficios trimestrales.,Santander,Positive
Telefónica experimentó una caída en ingresos debido a la inflación.,none,Neutral
Telefónica experimentó una caída en ingresos debido a la inflación.,Telefónica,Negative
Iberdrola mantuvo su producción de energía estable durante el trimestre.,none,Neutral
Iberdrola mantuvo su producción de energía estable durante el trimestre.,Iberdrola,Neutral
Renault a connu une hausse de 8% de ses ventes en Europe.,none,Neutral
Renault a connu une hausse de 8% de ses ventes en Europe.,Renault,Positive
Air France a subi des pertes importantes à cause des grèves.,none,Neutral
Air France a subi des pertes importantes à cause des grèves.,Air France,Negative
L’Oréal maintient une croissance stable dans le segment des cosmétiques.,none,Neutral
L’Oréal maintient une croissance stable dans le segment des cosmétiques.,L’Oréal,Neutral
Siemens Energy verzeichnete starke Gewinne im letzten Quartal.,none,Neutral
Siemens Energy verzeichnete starke Gewinne im letzten Quartal.,Siemens Energy,Positive
Deutsche Bank meldete Verluste aufgrund höherer Rückstellungen.,none,Neutral
Deutsche Bank meldete Verluste aufgrund höherer Rückstellungen.,Deutsche Bank,Negative
SAP behielt stabile Einnahmen trotz der Marktschwankungen.,none,Neutral
SAP behielt stabile Einnahmen trotz der Marktschwankungen.,SAP,Neutral
トヨタ自動車が新しいEVモデルで販売を拡大しました。,none,Neutral
トヨタ自動車が新しいEVモデルで販売を拡大しました。,トヨタ自動車,Positive
阿里巴巴因监管压力导致股价下跌。,none,Neutral
阿里巴巴因监管压力导致股价下跌。,阿里巴巴,Negative
شركة أرامكو السعودية أعلنت عن زيادة في الأرباح الفصلية.,none,Neutral
شركة أرامكو السعودية أعلنت عن زيادة في الأرباح الفصلية.,شركة أرامكو السعودية,Positive
현대자동차는 안정적인 매출 성장을 이어가고 있다.,none,Neutral
현대자동차는 안정적인 매출 성장을 이어가고 있다.,현대자동차,Neutral
Enel ha registrato un aumento significativo dei profitti annuali.,none,Neutral
Enel ha registrato un aumento significativo dei profitti annuali.,Enel,Positive
Ferrari ha superato le aspettative di vendita grazie alla forte domanda in Asia.,none,Neutral
Ferrari ha superato le aspettative di vendita grazie alla forte domanda in Asia.,Ferrari,Positive
Unicredit ha registrato un calo degli utili a causa dell'aumento dei costi operativi.,none,Neutral
Unicredit ha registrato un calo degli utili a causa dell'aumento dei costi operativi.,Unicredit,Negative
ENI mantiene un andamento stabile nonostante la volatilità del mercato.,none,Neutral
ENI mantiene un andamento stabile nonostante la volatilità del mercato.,ENI,Neutral
Fiat Chrysler ha annunciato un piano di espansione per veicoli elettrici.,none,Neutral
Fiat Chrysler ha annunciato un piano di espansione per veicoli elettrici.,Fiat Chrysler,Positive
Telecom Italia ha perso quote di mercato a causa della concorrenza crescente.,none,Neutral
Telecom Italia ha perso quote di mercato a causa della concorrenza crescente.,Telecom Italia,Negative
카카오가 새로운 서비스 출시로 사용자 수가 급증했다.,none,Neutral
